,Active_Team,Team_Seed,Similarity_Score,Best_Comparison_Team,Postseason_Finish
0,Michigan,1,1552.6474293884626,Purdue,3
1,Baylor,1,997.0375385952425,Purdue,4
2,Illinois,1,1065.898932150109,Kentucky,4
3,Gonzaga,1,2148.5827932681887,Gonzaga,4
4,Iowa,2,1566.8936481384853,Michigan,6
5,Ohio St.,2,1629.749256508835,Miami FL,3
6,Houston,2,875.6111178798417,Houston,3
7,Alabama,2,773.1260041445248,Oklahoma,3
8,West Virginia,3,1180.7628844065596,Syracuse,5
9,Texas,3,1816.4832613181866,Florida St.,3
10,Kansas,3,1502.0262936452102,Texas A&M,3
11,Arkansas,3,1330.085482837441,Florida St.,4
12,Florida St.,4,1300.8388695627305,Michigan St.,5
13,Virginia,4,743.4744052312291,Michigan,3
14,Purdue,4,1287.9180347269241,Texas A&M,3
15,Oklahoma St.,4,1588.3994655478868,Florida St.,4
16,Villanova,5,1174.430248588402,Michigan,3
17,Tennessee,5,2897.3162969578534,Texas A&M,3
18,Creighton,5,3935.3665631797903,Iowa St.,3
19,Colorado,5,1788.7251978295508,Virginia Tech,3
20,Texas Tech,6,1667.2460773617156,Texas Tech,4
21,BYU,6,1446.8737255419596,Gonzaga,3
22,USC,6,1158.5722873618192,Wisconsin,3
23,San Diego St.,6,1751.1393326230523,UCLA,3
24,Florida,7,2231.9759717768084,Oregon,3
25,Connecticut,7,1084.4733616836952,North Carolina,3
26,Clemson,7,686.4833239302068,Oregon,3
27,Oregon,7,982.1823820840431,Virginia Tech,3
28,Oklahoma,8,1023.7717679048742,Clemson,3
29,North Carolina,8,696.071912871625,Oregon,3
30,LSU,8,1205.23616182059,La Salle,3
31,Loyola Chicago,8,889.088498798165,Loyola Chicago,5
32,St. Bonaventure,9,1563.8989837188503,Indiana,3
33,Missouri,9,1488.388626336599,Kansas St.,4
34,Wisconsin,9,864.8684079289524,Nevada,3
35,Georgia Tech,9,745.9364181665774,Michigan,6
36,Rutgers,10,1314.6340328744534,Oregon,3
37,Virginia Tech,10,1555.7479788017574,Xavier,3
38,Maryland,10,1191.2346755598212,Loyola Chicago,5
39,VCU,10,1048.3221947393208,Kansas St.,4
40,Michigan St.,11,637.2591455461308,UCLA,3
41,Wichita St.,11,997.023344921825,Syracuse,5
42,Syracuse,11,1364.299920098842,La Salle,3
43,UCLA,11,983.9656810088503,Clemson,3
44,Utah St.,11,935.6616816704927,Texas A&M,3
45,Drake,11,566.4118127817293,Oregon,3
46,Georgetown,12,1002.8991181397777,Texas A&M,3
47,Oregon St.,12,669.8934133393618,Dayton,4
48,UC Santa Barbara,12,857.6462167440461,Xavier,3
49,Winthrop,12,628.6519215159102,Oregon,3
50,Ohio,13,950.0771195911298,Oregon,3
51,North Texas,13,976.6903677961175,Oregon,3
52,UNC Greensboro,13,421.58166389880563,Oregon,3
53,Liberty,13,543.5818077106566,Loyola Chicago,5
54,Colgate,14,577.5225965349442,Nevada,3
55,Eastern Washington,14,515.2287362740406,Loyola Chicago,5
56,Abilene Christian,14,434.8399218577209,Florida Gulf Coast,3
57,Morehead St.,14,438.92561573148015,Florida Gulf Coast,3
58,Iona,15,439.0697886331647,Dayton,4
59,Oral Roberts,15,298.0912955252902,La Salle,3
60,Grand Canyon,15,515.3336521388972,Texas A&M,3
61,Cleveland St.,15,764.9258930509318,Florida Gulf Coast,3
62,Drexel,16,330.8498674425832,Notre Dame,4
63,Mount St. Mary's,16,309.8100336518205,Florida Gulf Coast,3
64,Hartford,16,363.03954553581025,Florida Gulf Coast,3
65,Norfolk St.,16,338.30288947693657,Dayton,4
66,Texas Southern,16,382.27062630115546,Florida Gulf Coast,3
67,Appalachian St.,16,271.9689884403857,Florida Gulf Coast,3
